query_id,perturbation_type,perturbation_level,ground_truth,llm_guess,llm_latency,prompt_tokens,completion_tokens,cost_usd
831,none,0,A,C,1660.4373329901136,964,2,0.0001465
889,none,0,B,B,2901.8834580201656,1444,2,0.0002185
892,none,0,C,B,2899.758749990724,955,2,0.00014515
983,none,0,D,D,2900.167292013066,1017,2,0.00015445
1077,none,0,A,A,2897.496541001601,629,2,9.625e-05
1119,none,0,B,B,2901.040583004942,1076,2,0.0001633
1189,none,0,C,C,3636.585665983148,1107,2,0.00016795
1296,none,0,D,D,4100.241791980807,1127,2,0.00017094999999999998
1297,none,0,A,A,3634.701875009341,1316,2,0.00019930000000000002
1298,none,0,B,B,4093.411166977603,1225,2,0.00018565
1300,none,0,C,C,3630.714541999623,1347,2,0.00020395
1301,none,0,D,D,4097.145832987735,884,2,0.0001345
1302,none,0,A,A,3632.0589579991065,1217,2,0.00018444999999999998
1304,none,0,B,B,3635.118792008143,1400,2,0.0002119
1305,none,0,C,C,4094.579333992442,1158,2,0.00017559999999999999
1307,none,0,D,D,3633.594999992056,1223,2,0.00018535
1308,none,0,A,A,4089.036708988715,1095,2,0.00016615
1311,none,0,B,B,4092.025666992413,1223,2,0.00018535
1882,none,0,C,C,4081.7636249994393,770,2,0.00011740000000000001
1887,none,0,D,C,4085.4207499942277,754,2,0.000115
1888,none,0,A,A,3088.3429579844233,764,2,0.0001165
1889,none,0,B,B,2872.8746669949032,771,2,0.00011755
2327,none,0,C,C,2865.3392079868354,595,2,9.115e-05
2409,none,0,D,B,2866.7447089974303,775,2,0.00011815000000000001
2414,none,0,A,A,2867.76049999753,1023,2,0.00015534999999999998
2467,none,0,B,A,2858.8114169833716,1131,2,0.00017155000000000002
2496,none,0,C,A,2798.523292003665,1212,2,0.0001837
2507,none,0,D,D,2793.345583981136,737,2,0.00011245000000000001
2519,none,0,A,C,2784.929082990857,1001,2,0.00015205
2532,none,0,B,C,2794.025707989931,919,2,0.00013975
2543,none,0,C,C,2792.746959021315,1056,2,0.00016030000000000002
2552,none,0,D,C,2791.006624989677,903,2,0.00013735
2585,none,0,A,A,2865.564292005729,955,2,0.00014515
2586,none,0,B,B,2862.7642919891514,1000,2,0.0001519
2614,none,0,C,C,2857.985541020753,1093,2,0.00016585
2619,none,0,D,D,2860.782792005921,763,2,0.00011635000000000001
2627,none,0,A,B,2850.9778330044355,759,2,0.00011575
2686,none,0,B,B,2856.786499993177,929,2,0.00014125
2749,none,0,C,C,2857.089375000214,993,2,0.00015085
2808,none,0,D,B,2840.5844579974655,820,2,0.0001249
2844,none,0,A,A,2857.1442920074333,705,2,0.00010765
2845,none,0,B,B,2824.397874996066,786,2,0.0001198
2852,none,0,C,C,2824.5115419849753,1046,2,0.0001588
2853,none,0,D,D,2821.434749988839,725,2,0.00011065
2855,none,0,A,A,2818.4989590081386,775,2,0.00011815000000000001
2856,none,0,B,B,2818.9645419770386,1003,2,0.00015235
2857,none,0,C,C,2779.5836250006687,820,2,0.0001249
2858,none,0,D,D,2775.8818749862257,907,2,0.00013795
2859,none,0,A,A,2772.8255830006674,748,2,0.00011410000000000001
2860,none,0,B,B,2774.7923750139307,758,2,0.0001156
2861,none,0,C,C,2772.4081669875886,588,2,9.010000000000001e-05
2862,none,0,D,D,2766.3199589878786,667,2,0.00010195
2863,none,0,A,A,2704.995375010185,894,2,0.000136
2864,none,0,B,B,2700.1114589802455,911,2,0.00013855
2865,none,0,C,C,2697.942332975799,786,2,0.0001198
2866,none,0,D,D,2697.265208000317,1006,2,0.0001528
2867,none,0,A,A,2683.0670420022216,1133,2,0.00017185
2868,none,0,B,B,2691.490958997747,915,2,0.00013915
